timestamp,temperature_c,power_w,power_limit_w,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,sm_clock_mhz,memory_clock_mhz,pstate
2026/09/21 07:32:13.511, 72, 115.39, 170.00, 7399, 12288, 63, 15, 1815, 7301, P2
2026/09/21 07:32:18.888, 75, 118.29, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:32:24.234, 76, 124.93, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:32:29.572, 76, 130.55, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:32:34.918, 76, 131.30, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:32:40.266, 75, 117.48, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:32:45.636, 74, 116.78, 170.00, 7399, 12288, 83, 24, 1815, 7301, P2
2026/09/21 07:32:50.979, 75, 117.72, 170.00, 7399, 12288, 100, 28, 1815, 7301, P2
2026/09/21 07:32:56.318, 75, 116.88, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:33:01.663, 76, 120.27, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:33:07.009, 76, 126.36, 170.00, 7399, 12288, 100, 23, 1815, 7301, P2
2026/09/21 07:33:12.368, 77, 131.18, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:33:17.726, 76, 128.59, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:33:23.071, 76, 117.35, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:33:28.420, 76, 117.52, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:33:33.767, 76, 120.83, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:33:39.108, 77, 133.29, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:33:44.464, 76, 117.59, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:33:49.808, 75, 117.22, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:33:55.153, 76, 125.04, 170.00, 7399, 12288, 81, 22, 1815, 7301, P2
2026/09/21 07:34:00.497, 75, 121.11, 170.00, 7399, 12288, 83, 24, 1815, 7301, P2
2026/09/21 07:34:05.838, 75, 117.73, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:11.201, 76, 116.97, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:16.547, 77, 119.22, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:34:21.907, 77, 126.36, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:34:27.248, 77, 126.93, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:34:32.592, 77, 131.77, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:34:37.941, 76, 122.87, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:43.285, 76, 117.78, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:48.633, 76, 117.18, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:53.975, 76, 117.39, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:34:59.334, 77, 126.34, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:35:04.699, 78, 134.36, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:35:10.257, 77, 134.72, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:35:15.604, 76, 119.33, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:35:20.952, 77, 124.81, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:35:26.299, 77, 124.82, 170.00, 7399, 12288, 93, 26, 1815, 7301, P2
2026/09/21 07:35:31.653, 77, 119.79, 170.00, 7399, 12288, 100, 29, 1815, 7301, P2
2026/09/21 07:35:36.996, 76, 118.13, 170.00, 7399, 12288, 87, 22, 1815, 7301, P2
2026/09/21 07:35:42.384, 78, 126.37, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:35:47.734, 78, 133.78, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:35:53.129, 78, 132.83, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:35:58.472, 77, 128.82, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:36:03.823, 77, 129.22, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:36:09.169, 77, 123.10, 170.00, 7399, 12288, 100, 29, 1800, 7301, P2
2026/09/21 07:36:14.511, 77, 118.89, 170.00, 7399, 12288, 100, 29, 1800, 7301, P2
2026/09/21 07:36:19.858, 76, 118.01, 170.00, 7399, 12288, 100, 29, 1800, 7301, P2
2026/09/21 07:36:25.214, 76, 118.90, 170.00, 7399, 12288, 100, 29, 1800, 7301, P2
2026/09/21 07:36:30.558, 78, 133.82, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:36:35.901, 77, 125.63, 170.00, 7399, 12288, 97, 28, 1807, 7301, P2
2026/09/21 07:36:41.247, 77, 125.78, 170.00, 7399, 12288, 73, 20, 1807, 7301, P2
2026/09/21 07:36:46.588, 76, 117.49, 170.00, 7399, 12288, 97, 28, 1807, 7301, P2
2026/09/21 07:36:51.937, 76, 117.55, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:36:57.292, 76, 118.16, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:37:02.640, 77, 123.21, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:37:07.989, 77, 129.83, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:37:13.337, 77, 118.96, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:37:18.750, 78, 133.64, 170.00, 7399, 12288, 100, 24, 1807, 7301, P2
2026/09/21 07:37:24.104, 77, 131.08, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:37:29.511, 76, 118.48, 170.00, 7399, 12288, 88, 24, 1807, 7301, P2
2026/09/21 07:37:34.866, 77, 119.53, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:37:40.209, 77, 121.45, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:37:45.609, 78, 134.21, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:37:50.950, 78, 128.07, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:37:56.303, 78, 129.88, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:38:01.655, 77, 123.46, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:38:07.068, 78, 132.79, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:38:12.415, 77, 120.56, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:38:17.766, 79, 132.34, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:38:23.118, 77, 127.41, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:38:28.515, 77, 120.43, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:38:33.864, 78, 130.79, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:38:39.228, 78, 121.05, 170.00, 7399, 12288, 100, 24, 1807, 7301, P2
2026/09/21 07:38:44.580, 78, 129.10, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:38:49.921, 77, 117.47, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:38:55.274, 77, 120.54, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:39:00.619, 77, 118.18, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:39:05.966, 78, 129.13, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:39:11.316, 77, 128.40, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:39:16.656, 74, 117.29, 170.00, 7399, 12288, 92, 27, 1807, 7301, P2
2026/09/21 07:39:21.999, 78, 122.37, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:39:27.351, 78, 134.08, 170.00, 7399, 12288, 99, 25, 1807, 7301, P2
2026/09/21 07:39:32.700, 78, 132.14, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:39:38.044, 77, 130.66, 170.00, 7399, 12288, 100, 28, 1807, 7301, P2
2026/09/21 07:39:43.390, 76, 118.70, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:39:48.744, 77, 118.50, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
